EAR,MAR,TIME
0.29,0.44788683308224214,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.23,0.4572713992329152,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.23,0.4572713992329152,17:28:38
0.26,0.4627701407019061,17:28:38
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.23,0.4572713992329152,17:28:38
0.26,0.4627701407019061,17:28:38
0.25,0.46636503566564624,17:28:39
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.23,0.4572713992329152,17:28:38
0.26,0.4627701407019061,17:28:38
0.25,0.46636503566564624,17:28:39
0.28,0.4432553475026324,17:28:39
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
0.24,0.45518580019139526,17:28:38
0.23,0.4572713992329152,17:28:38
0.26,0.4627701407019061,17:28:38
0.25,0.46636503566564624,17:28:39
0.28,0.4432553475026324,17:28:39
0.26,0.457785303921704,17:28:39
0.29,0.44788683308224214,17:28:38
0.27,0.44220622526246195,17:28:38
0.28,0.45797595512893696,17:28:38
0.24,0.4651938213875137,17:28:38
